workload,mode,mean_s,stdev_s,trial1,trial2,trial3
hotspot,baseline,9.718496004740397,0.5587041036666327,10.361177444458008,9.445845127105713,9.34846544265747
hotspot,pilot,6.334036588668823,0.36113886353533203,6.735537052154541,6.230853319168091,6.035719394683838
backprop,baseline,3.508077700932821,0.12384010814833768,3.623624086380005,3.5232644081115723,3.3773446083068848
backprop,pilot,4.0093207359313965,0.05878690874729455,4.077199935913086,3.9758408069610596,3.974921464920044
pathfinder,baseline,1.9020620981852214,0.11425403019819884,1.7701342105865479,1.9675183296203613,1.9685337543487549
pathfinder,pilot,1.7714049816131592,0.13539128763597866,1.7184467315673828,1.6704974174499512,1.9252707958221436
bfs,baseline,8.01174807548523,0.505869384554241,7.5419921875,8.547293424606323,7.945958614349365
bfs,pilot,6.744924624760945,1.0812712172634231,7.981407642364502,6.276615619659424,5.976750612258911
srad_v2,baseline,3.328472455342611,0.13124604308481602,3.228484630584717,3.279839038848877,3.4770936965942383
srad_v2,pilot,4.699433326721191,0.2616200774815323,4.630657196044922,4.9885711669921875,4.479071617126465
lud,baseline,8.762065649032593,0.22343786633398433,8.975807189941406,8.53005337715149,8.780336380004883
lud,pilot,8.76259962717692,0.20845240283921102,8.528366088867188,8.927710056304932,8.831722736358643
heartwall,baseline,2.1382056872049966,0.16023326315182884,2.321106195449829,2.0225634574890137,2.0709474086761475
heartwall,pilot,4.025697072347005,0.08793322360331632,3.924161434173584,4.076835632324219,4.076094150543213
nn,baseline,5.050116221110026,0.20758774334384447,4.979733943939209,5.283744812011719,4.88686990737915
nn,pilot,3.7555130322774253,0.05767587795933367,3.720659017562866,3.7237932682037354,3.822086811065674
nw,baseline,6.611376365025838,0.07969989264127413,6.6796875,6.630627393722534,6.5238142013549805
nw,pilot,6.626604954401652,0.19959349286359895,6.626795291900635,6.826103210449219,6.4269163608551025
